,Review,Ratings,class
0,"pro,lot,item,would,expect,chines,bakeri,friendli,owner,great,valu,con,servic,slow,busi,have,read,previou,review,appar,owner,place,chang,recent,I,never,experienc,place,previou,owner,I,base,review,abc,standard,chines,bakeri,lot,hot,food,order,well,I,alway,seen,place,whenev,I,come,plaza,dim,sum,It,look,small,outsid,there,larg,amount,tabl,space,come,insid,abc,item,would,expect,chines,bakeri,for,breakfast,coupl,combo,great,valu,ion,opinion,I,got,combo,includ,beef,brisket,noodl,egg,sandwich,larg,cold,milk,tea,650,the,beef,brisket,noodl,great,amount,brisket,good,amount,veggi,boot,normal,get,veggi,I,love,owner,It,seem,pa,type,ownership,they,nice,friendli,their,english,could,use,work,tri,hard,get,understand,dont,speak,chines,It,seem,though,work,front,kitchen,staff,back,when,get,super,busi,expect,wait,time,Im,realli,glad,I,decid,tri,place,I,see,come,instead,I,dont,want,wait,dim,sum,I,love,support,local,busi,straight,one,busi,support",Positive,0
1,"best,eggtart,town,there,realli,much,say,hong,kong,style,fastfood,restaur,you,dont,come,custom,servic,dont,come,luxuri,architectur,dont,come,first,date,what,come,cheap,authent,hong,kong,dish,bakeri,fresh,egg,tart",Positive,0
2,"ive,abc,bakeri,time,sinc,I,read,one,top,place,egg,tart,noth,beat,first,time,I,went,though,Id,given,5,star,egg,tart,unfortun,experi,wors,wors,time,ive,went,the,fact,new,ownership,explain,lot,On,recent,visit,I,order,bowl,wonton,noodl,slice,chines,white,honeycomb,cake,egg,tart,10,flat,the,wonton,noodl,okay,get,six,smallerthanaverag,wonton,bowl,lot,noodl,chop,scallion,the,white,honeycomb,cake,decent,get,fairli,larg,slice,the,suppos,star,show,egg,tart,extrem,disappoint,the,egg,tart,look,like,biscuit,one,instead,flaki,crust,when,ask,ladi,doesnt,speak,english,said,new,lowfat,recip,the,healthconsci,decis,worth,wasnt,much,rise,pastri,becam,dens,eat,the,egg,custard,also,bland,lack,flavour,sweet,ive,never,realli,bad,egg,tart,far,worst,experi,the,mini,dim,sum,egg,tart,better,even,one,chines,buffet,Id,say,better,while,everyth,cheap,I,left,unsatisfi,experi,longtim,favourit,I,might,give,one,tri,though,mani,month,Id,given,1star,rate,ill,give,extra,star,base,histori,previou,owner",Negative,1
3,"fyi,close,monday,new,ownership,10,week,new,menu,classic,egg,tart,hot,cook,long,enough,oven,someth,egg,tart,stuck,aluminum,holder,tri,pri,egg,tart,liter,fell,apart,not,good,nice,tri,new,owner,enough,come,back,unfortun,previou,owner,retir,It,great,institut,long,I,find,anoth,place,becom,extinct",Negative,1
4,"the,insid,may,look,like,much,make,mean,egg,tart,good,bbq,pork,bun,thi,place,old,school,charm,remind,bakeri,cafe,I,grew,withtheir,lunch,menu,item,also,good,I,tend,order,rice,noodl,I,hood",Positive,0
5,"I,usual,come,egg,tart,one,best,hong,kong,style,egg,tart,they,alway,bake,alway,fresh,egg,tart,custard,warm,silki,smooth",Positive,0
6,"everyth,I,meant,everyth,good,were,week,day,breakfast,servic,quick,exactli,I,ask,the,fresh,egg,tart,omg,sooooo,good,servic,good,veri,nice,owner,accommod",Positive,0
7,"it,like,3,12,star,valu,thing,5,lunch,win,game,4,12,star,the,hot,kitchen,menu,cheap,AF,consist,good,simpl,good,I,usual,order,beef,brisket,rice,I,admir,cheap,meat,tender,price,ratio,seemingli,earn,hour,cook,A,bit,fatti,even,brisket,there,much,except,beef,rice,good,enough,quick,lunch",Negative,1
8,"thi,place,got,best,hong,kong,style,egg,tart,town,the,egg,custard,warm,silki,smooth,pastri,flaki,like,puff,pastri,the,combin,perfect,marriag,So,thank,one,invent,tart,afternoon,snack,favourit,mani,peopl,hong,kong,the,milk,tea,also,realli,creami,rich,black,tea,tast,I,alway,come,egg,tart,I,wait,20,minut,freshli,bake,egg,tart,for,095,tart,wonder,price,larg,milk,tea,160,realli,nice,wallet,lol,the,decor,littl,date,I,like,newli,renov,washroom,T",Positive,0
9,"make,quick,stop,wait,dim,sum,next,door,We,got,toast,milk,tea,good,My,favorit,thing,place,decor,though,kind,remind,chacant,hk",Positive,0
10,"order,lunch,take,special,D,bbq,pork,rice,bok,choy,veri,fresh,hot,flavor,the,pork,tender,lean,the,rice,fresh,steam,nice,the,bok,choy,tender,yet,crisp,all,495,plu,tax,staff,friendli,food,took,time,get,readi,highli,recommend,someon,look,fresh,food,time,manner,A,wise,choic,valu,consciou",Positive,0
11,"I,love,place,their,weekday,lunch,special,around,5,buck,lot,food,each,time,I,went,none,friend,finish,meal,It,tast,great,boss,ladi,realli,nice,Um,two,friend,went,got,diarrhoea,eat,not,sure,food,egg,tart,realli,realli,good",Positive,0
12,"good,egg,tart,dish,My,step,dad,like,curri,chicken,I,like,noodl,ive,tri,three,differ,noodl,offer,like",Positive,0
13,"My,husband,work,near,never,insid,I,told,go,today,I,read,yelp,review,thought,Id,give,tri,We,usual,go,somewher,els,buy,egg,tart,pastri,case,get,hard,need,new,place,get,He,brought,back,6,still,hot,got,home,wish,hed,let,sweat,plastic,bag,they,tad,sweet,like,delici,the,case,flaki,crumbl,like,place,disintegr,bite,touch,onli,neg,realli,orang,colour,shell,fill,My,11,year,old,gave,big,thumb,like,dessert,My,9,year,old,daughter,doesnt,normal,eat,egg,tart,period,ate,one,said,ok,We,get,egg,tart,futur,give,le,chateau,miss",Positive,0
14,"My,search,favorit,egg,tart,continu,I,love,old,school,vibe,abc,bakeri,thi,cafe,around,20,year,I,high,expect,egg,tart,egg,tart,milk,tea,245,just,mayb,person,prefer,I,love,egg,custard,sweet,aromat,smell,egg,textur,smooth,but,crust,heavi,doughi,even,tart,still,warm,touch,the,milk,tea,meh,not,hot,enough,smooth,enough,par,while,I,peopl,buy,egg,tart,egg,tart,stale,uninterest,offer,display,I,doubt,I,back,I,read,yelp,friend,review,come",Negative,1
15,"ive,hunt,best,egg,tart,toronto,place,new,favorit,far,least,the,tart,realli,tasti,seem,freshli,bake,got,they,massiv,well,realli,cheap,85c,amaz,valu,given,good,thing,tast,My,complaint,pastri,littl,crumbl,also,Id,prefer,top,burnt,macau,style,but,minor,complaint,cash,ampl,park,No,tax,buy,6",Positive,0
16,"As,chines,spent,childhood,hong,kong,one,chines,tradit,snack,everi,child,would,love,eat,young,even,full,adult,like,can,guess,snack,you,find,almost,everi,chines,bakeri,ye,egg,tart,I,search,great,egg,tart,I,alway,fan,le,chateaux,egg,tart,make,consist,good,egg,tart,I,happi,surpris,I,found,somewher,make,even,better,one,abc,bakeri,coffe,shop,probabl,bake,best,egg,tart,markham,area,they,alway,high,demand,last,time,I,came,I,wait,15,minut,new,batch,old,sold,even,I,3,peopl,front,wait,new,batch,and,everyon,grab,half,dozen,run,veri,fast,If,big,egg,tart,person,I,highli,recommend,come,grab",Positive,0
17,"thi,unassum,bakeri,tuck,corner,scarborough,strip,mall,place,youd,consid,best,egg,tart,citi,howev,read,posit,review,yelper,I,give,tri,I,bought,one,one,anoth,yelper,the,total,2,impress,still,warm,sat,special,case,counter,after,40,minut,trip,friend,home,I,couldnt,believ,still,warm,the,middl,silki,contrari,review,crust,nice,flaki,As,mention,review,extens,menu,asid,tart,price,appear,reason,portion,size,I,would,definit,consid,return,I,crave,egg,tart,would,encourag,other,go,tri,place",Positive,0
18,"I,came,check,egg,tart,I,bit,disappoint,I,love,custard,pastri,the,pastri,thick,I,didnt,like,I,doubt,I,return,egg,tart,I,also,bought,bun,werent,soft,thick,hard,after,tri,sever,item,I,come,back",Negative,1
19,"decid,check,place,read,wonder,review,egg,tart,receiv,the,review,right,the,tart,nice,silki,also,elderli,ladi,behind,counter,quit,warm,friendli,well,servic,smile,common,bakeri,type,ive",Positive,0
20,"their,egg,tart,best,town,I,alway,love,egg,tart,kid,My,mom,would,bring,school,I,order,egg,tart,snack,yummm",Positive,0
21,"heard,great,egg,tart,went,specif,tri,they,soooooo,good,the,pastri,HK,egg,tart,fill,perfect,silki,perfectli,eggi,the,decor,terribl,long,egg,tart,stay,good,I,keep,go",Positive,0
22,"I,slowli,back,ass,crown,princ,fine,dine,banquet,soon,I,realiz,net,asset,near,rear,asset,500,paper,currenc,abc,bakeri,door,sound,within,current,net,present,valu,I,went,confid,chines,bakeri,also,HK,cafe,food,not,exactli,biggest,select,bake,bread,pastri,enough,offer,bluewhit,collar,work,nearbi,standard,price,noodleric,dish,offer,25,star,egg,tart,milk,tea210,fresh,still,warmfromoven,egg,tart,flakey,howev,dens,flakey,varieti,rather,airi,not,sure,due,warm,statu,egg,tart,custard,within,pocket,separ,look,less,appeal,I,didnt,tast,differ,milk,tea,quit,nice,enjoy,best,part,get,290,coin,back,pocket,the,environ,atmospher,bit,awkward,the,custom,either,singl,individu,even,multipl,freaki,quiet,compar,HK,bakeri,cafe,that,combin,focal,point,either,televsionradio,decor,made,place,feel,staleboringdepress,A,spot,eat,mind,busi,clap,fli",Negative,1
23,"u,like,egg,tart,place,u,go,usual,u,find,ppl,wait,front,counter,freshli,bake,egg,tart,all,gone,sec,I,think,deep,fri,stuff,ok,I,cant,think,drink,good,bakeri,So,I,grab,half,dozen,egg,tart,go",Negative,1
24,"the,reason,I,went,outoftheway,chines,bakeri,older,strip,plaza,free,park,base,strength,recommend,variou,friend,cantonesestyl,egg,custard,tart,I,love,custard,tart,yummi,the,custard,tart,right,amount,straightfromtheoven,warm,jiggli,sweet,custard,good,deep,middl,delici,outer,crust,I,three,soon,I,bought,regardless,whether,good,idea,I,dont,regret,bit,the,strang,thing,other,told,crust,suppos,flakey,version,mine,less,flakey,solid,doesnt,detract,inhal,though,thi,bakeri,around,long,time,I,cant,believ,ive,gone,It,also,serv,chines,cafe,style,food,well,chines,pastri,seat,howev,given,promin,custard,tart,receiv,heat,bake,tray,counter,rather,rest,pastri,Id,say,place,know,good",Positive,0
25,"went,lunch,today,great,servic,atmospher,great,attitud,owner,the,best,empanada,ive,life,I,highli,recommend,and,I,frequent,custom,So,good",Positive,0
26,"My,husband,I,check,food,it,pretti,good,I,like,uniqu,flavor,pastri,it,definit,place,I,would,come,back,My,one,critiqu,I,felt,like,savori,pie,littl,dri,mayb,day,ill,definit,come,check",Positive,0
27,"food,servic,amaz,hand,pie,world,We,tri,green,chile,mac,killer,sever,hand,pie,green,chile,pork,miss",Positive,0
28,"If,your,look,place,wont,happen,upon,tuck,end,strip,mall,hidden,behind,tattoo,shop,take,word,look,for,thi,place,I,went,around,1pm,thursday,the,guy,behind,counter,turn,owner,super,welcom,friendli,help,you,order,sweet,savori,hand,pie,along,scratch,soup,side,grain,salad,potato,dishesal,yummi,I,order,combo,hand,pie,side,potato,I,went,jamaican,beef,patti,hand,pie,hatch,green,chile,potato,monterrey,jack,chees,SO,good,SO,good,SO,good,nice,comfi,seat,area,good,tune,good,food,Do,favor,support,small,local,busi,get,fromscratch,love,kitchen,you,wont,sorri",Positive,0
29,"alway,5,star,meal,the,hand,pie,tasti,savori,the,hatch,green,chili,give,perfect,kick,the,chocol,pie,awesom,the,green,chili,corn,chowder,good,huge,bowl,love,flavor,water,like,today,cucumb,mint,everyth,scratch,made,watch,make,behind,counter,It,smell,amaz,insid,one,favorit",Positive,0
30,"thi,new,favorit,brunch,lunch,spot,the,hand,pie,yummi,good,qualiti,ingredi,they,great,select,sweet,savori,offer,interest,ingredi,pare,small,beaten,path,total,worth",Positive,0
31,"delici,differ,savori,the,gentleman,behind,counter,super,help,nice,green,chili,pork,delici,slight,dri,mayb,that,way,suppos,I,would,add,chees,insid,moisten,I,know,I,sure,come,back,use,cater,frozen,delici,dinner,go",Positive,0
32,"I,give,place,A,I,came,back,2014,love,after,town,coupl,year,I,came,back,2017,love,even,I,think,both,time,I,got,hand,pie,soup,eat,premis,bought,30,take,home,I,would,call,pasti,Im,michigan,someon,els,might,think,empanada,closer,mexico,either,way,delici,reason,price,their,soup,homemad,hearti,scrumptiou,kind,weather,the,problem,I,place,close,4,sometim,I,dont,get,door,till,harder,get,close,might,averag,person,get,earlier,start,and,problem,decid,flavor,get,good",Positive,0
33,"I,realli,lost,I,read,review,realli,made,sens,I,2,empanada,green,chilli,potato,I,realli,tast,great,the,empanda,meat,breakfast,one,realli,dri,crust,hard,I,much,better,like,700,size,hostess,pie,the,potato,cold,weird,I,hear,cook,someth,back,I,one,custom,they,good,even,warm,hard,done,yet,well,I,chalk,thing,peopl,rave,mad",Negative,1
34,"dammit,man,final,place,killer,coffe,amaz,food,without,stupidli,larg,portion,It,seem,mani,american,equat,ridicul,quantiti,food,valu,overlook,qualiti,love,go,well,prepar,dish,We,green,chili,empenada,green,chili,chees,potato,quich,lorain,white,bean,spinach,tomato,soup,killer,lemon,pineappl,pie,treat,afterward,everyth,astonishingli,good,what,relief,get,away,silli,huge,omelett,monster,plate,pancak,eat,someth,wonder,depart,without,bellyach,eat,soon,befor,die",Positive,0
35,"serious,good,from,servic,amaz,food,wish,visibl,peopl,see,Im,glad,found,will,definit,back,the,empanada,combo,perfect,littl,meal,fill,dont,forget,tri,creme,brûlée",Positive,0
36,"great,select,flavor,empanada,handpi,highli,recommend,friend,want,meet,brunch,I,brows,yelp,bookmark,came,AZ,food,crafter,everyon,agre,gave,tri,glad,food,I,love,varieti,menu,mani,thing,tri,and,sinc,hatch,chile,season,AZ,food,crafter,special,select,I,eager,tri,I,end,two,savori,pie,combo,I,could,sampl,two,differ,hand,pie,I,green,chile,pork,empanada,favorit,yelper,green,chile,relleno,one,spicier,choic,I,one,word,describ,wow,the,empanada,crust,nice,flaki,dens,chewi,and,flavor,amaz,My,order,came,ranch,dress,wonder,hatch,chile,sauc,great,dip,I,must,say,green,chile,pork,flavor,also,fairli,dri,I,expect,bit,moist,but,green,chile,relleno,made,hatch,chile,simpli,excel,It,moist,fairli,spici,although,overthetopburnyourlipsoff,spici,thi,one,definit,repeat,with,yelp,checkin,I,also,got,free,dessert,empanada,cool,I,decid,anoth,hatch,chile,select,green,chile,appl,pie,cheddar,crust,holi,smoke,good,If,come,still,avail,mean,get,It,sweet,spici,bit,cheesi,amaz,flavor,I,cant,recal,everyon,els,happi,select,cost,My,two,savori,pie,combo,reason,750,tax,the,amaz,dessert,pie,free,otherwis,would,4,So,ya,AZ,food,crafter,great,valu,servic,the,staff,friendli,patient,answer,firsttim,question,It,took,food,come,long,got,fresh,hot,empanada,atmospher,the,seat,area,small,probabl,seat,around,dozen,peopl,and,kitchen,area,across,counter,neat,watch,staff,work,allinal,atmospher,ok,noth,special,overal,I,realli,impress,food,staff,cant,wait,return,tri,select,thi,one,definit,made,regular,rotat",Positive,0
37,"what,small,amaz,place,thi,place,give,u,varieti,empanada,choos,afford,delici,My,boyfriend,I,order,chicken,pot,pie,appl,pie,sriracha,chicken,philli,lemon,blueberri,empanada,side,green,chili,mac,chees,everyth,amaz,order,two,go,you,option,pre,heat,empanada,pre,heat,urself,come,direct,ingredi,bag,If,also,play,pokemon,go,player,luck,poke,stop,right,frontyou,also,get,free,sweet,empanada,check,yelp",Positive,0
38,"I,numer,time,lunch,never,disappoint,meal,It,tuck,neatli,corner,shop,center,tight,park,worth,visit",Positive,0
