,Review,Ratings,class
0,"melissa,took,us,tour,asia,space,hour,she,definit,know,histori,region,she,take,time,tell,differ,proprietor,differ,restaur,stop,she,also,let,know,differ,region,cuisin,origin,We,would,definit,take,tour,offer,time,allow,make,sure,arriv,empti,stomachyoul,need",Positive,0
1,"with,group,seven,us,visit,montreal,week,look,tour,would,interest,everyon,group,chocol,tour,perfect,who,doesnt,love,chocol,melissa,awesom,guid,We,learnt,ton,chocol,make,realli,enjoy,meet,interest,peopl,behind,chocol,busi,montreal,plu,superdelici,chocol,tast,Id,highli,recommend,tour,chocol,lover",Positive,0
2,"melissa,gem,My,fiancé,found,tour,viator,check,tripadvisor,went,It,worth,everi,penni,We,took,iberian,walk,tour,montreal,fill,surpris,chorizo,distributor,great,histori,lot,local,stop,tapa,place,never,someth,would,discov,We,intim,group,4,tour,coupl,australia,great,wine,great,food,great,compani,I,highli,recommend,definit,take,anoth,tour,return,montreal",Positive,0
3,"A,perfect,day,montreal,melissa,outfit,us,bike,deftli,guid,us,divers,neighborhood,montrealand,stop,along,way,sampl,amaz,street,food,melissa,delight,knowledg,guid,the,food,terrificfrom,duck,sausag,naanwich,chocol,mouss,I,would,highli,recommend,melissa,consid,anoth,one,tour,I,next,montreal",Positive,0
4,"I,realli,great,food,truck,tour,melissa,montreal,she,realli,love,know,talk,food,montreal,make,tour,authent,nice,you,realli,hear,lot,montreal,food,truck,stori,although,number,food,truck,limit,day,tour,I,still,got,enough,food,qualiti,food,realli,good,definit,typic,fast,food,would,normal,expect,food,truck,like,haut,cuisin,wheel,montreal,great,citi,cycl,lot,bicycl,lane,hill,sum,I,say,tour,real,posit,surpris,I,would,recommend,food,truck,tour,everyon,love,real,food,fast,food",Positive,0
5,"I,food,truck,tour,bike,wonder,guid,name,melissa,she,knowledg,food,histori,montreal,friendli,We,bit,troubl,get,bike,first,compani,use,never,show,Ma,bicyclett,howev,quick,feet,decid,use,bixi,bike,instead,while,ideal,bike,job,anywho,onto,tour,explor,area,abl,tri,variou,food,truck,thaicambodian,food,A,crepe,place,Au,pie,du,cochon,food,truck,dim,sum,bubbl,tea,belgian,waffl,the,varieti,vari,time,great,relationship,food,truck,owner,get,meet,chat,all,great,time,In,addit,melissa,lot,tour,cant,go,wrong,amaz,person,deep,knowledg,food,industri,check,stuff,see,suit",Positive,0
6,"A,pleasant,surpris,I,tripl,sinc,2003,never,use,servic,just,one,case,someth,happen,kinda,thing,anyhow,yesterday,I,went,car,notic,driver,side,door,openi,must,close,properli,random,person,broke,garag,open,door,So,sit,garag,3,day,the,batteri,complet,dead,even,car,lock,activ,happen,So,sit,seat,minut,come,conclus,ME,I,decid,someth,My,first,thought,I,call,friend,jump,but,130,pm,likley,sleep,and,I,rememb,I,tripl,A,never,actual,thought,much,I,call,within,40,minut,I,good,go,tripl,A,worth",Positive,0
7,"aaa,obvious,reput,companythat,goe,without,say,employ,sale,rep,john,kolia,anoth,yelper,wrote,scam,artist,I,agre,withh,bsed,auto,condo,insur,polici,promis,futur,discount,provid,claim,andor,ticket,I,follow,poop,salesman,mouth,full,sampl,I,follow,least,4,occas,He,kept,say,ill,get,discount,call,back,He,never,I,never,claim,subsequ,I,cancel,polici,poof,money,gone,have,said,aaa,probabl,fine,dont,busi,john,kolia",Negative,1
8,"the,offic,larg,plenti,seat,staff,alert,greet,smile,ralph,best,He,nonsens,extrem,knowledg,get,quickli,question,resolv,truli,pleasur,busi",Positive,0
9,"I,recent,use,aaa,roadsid,assist,first,time,even,though,I,car,insur,homeown,insur,quit,time,the,custom,servic,receiv,chart,the,servic,well,beyond,I,anticip,they,track,phone,pinpoint,locat,gave,text,messag,updat,tow,truck,progress,I,told,would,45,minut,truck,could,get,3pm,vega,heat,summer,I,knew,would,hour,half,2,hour,At,30,minut,mark,dispatch,call,inform,truck,mile,half,away,hurri,My,respons,chuckl,wow,that,awesom,even,driver,great,everytim,get,car,turn,ignit,wheel,alway,sat,door,sil,didnt,get,greas,dirt,seat,interior,car,when,pull,car,bed,truck,winch,steadi,control,didnt,jerk,car,around,He,treat,car,respect,I,use,shop,repair,contact,20,minut,later,let,know,car,arriv,driver,treat,vehicl,care,respect,even,though,I,wasnt,the,driver,name,loui,that,guy,awesom,person,thank,never,good,reason,contact,insur,compani,reason,howev,tripl,A,made,easi,comfort,possibl,Im,glad,Im,spend,money,compani,I,trust",Positive,0
