,Review,Ratings,class
0,"My,husband,I,rare,afternoon,decid,tri,place,I,friend,drink,work,enjoy,We,sat,waitress,gave,us,entir,menu,explan,indic,whole,menu,avail,We,go,order,food,late,lunch,230,waitress,came,back,said,kitchen,close,okay,big,deal,well,wine,find,place,eat,area,afterward,the,first,page,menu,happi,hour,deal,the,menu,clearli,state,happi,hour,monday,friday,750,cute,the,wine,750,per,glass,My,husband,I,point,wine,front,cover,menu,happi,hour,menu,when,I,got,bill,charg,full,price,wine,I,ask,waitress,said,Oh,happi,hour,doesnt,start,400,yet,NO,where,menu,say,In,fact,menu,indic,start,time,end,time,not,waitress,could,clearli,see,order,happi,hour,menu,dumb,point,name,thing,she,mention,time,wine,would,full,price,instead,kind,laugh,said,probabl,put,400,I,said,absolut,I,return,recommend",Negative,0
1,"for,year,I,thought,wine,store,sister,stop,told,I,go,thi,nice,littl,place,I,stop,twice,saturday,afternoon,tuesday,even,both,time,other,noth,crowd,I,like,chose,wine,bottl,glass,flight,beer,bottl,draft,the,food,tasti,I,enjoy,artichok,asiago,dip,stuf,peppadew,medium,heat,buffalo,chicken,flatbread,thi,nice,relax,place,hang,friend,glass,wine,beer,tasti,snack",Positive,1
2,"thi,place,charm,I,went,husband,love,simpl,clean,decor,romant,light,the,wine,food,delici,our,server,attent,friendli,help,I,also,found,afford,rang,wine,price,option,enjoy,afford,appet,dont,want,spend,money,full,meal,We,back",Positive,1
3,"We,want,tri,place,coupl,year,final,stop,last,night,the,servic,excel,food,great,It,cute,insid,romant,flair,they,also,littl,wine,shop,right,next,restaur,I,cant,wait,go,back,snow,outsid,I,think,beauti",Positive,1
4,"decor,look,ok,layout,busi,difficult,walk,sittalk,breath,food,ised,servic,mostli,underwhelm,I,think,price,I,would,visit,creeksid,courtyard,burntwood,instead,next,time",Negative,0
5,"l,love,place,great,wine,delici,light,fare,the,servic,could,littl,attent,there,nice,mix,crowd,chang,throughout,night,but,bewar,seat,chair,bar,veri,slipperi,even,wine",Positive,1
6,"overpr,food,wasnt,great,either,what,bug,wife,I,sit,end,bar,appar,server,like,congreg,noth,the,guy,sit,next,us,duti,server,laptop,everyon,kept,come,hang,it,offput,sit,next,bunch,server,bsing,instead,work,couldnt,even,hear,convers",Negative,0
7,"cute,place,decent,select,wine,sadli,end,there,750,uncork,fee,purchas,bottl,choos,drink,they,tell,seal,unfortun,server,put,cork,55,wine,bottl,16,wine,put,paper,bag,stapl,shut,around,cork,He,said,fine,would,consid,open,contain,I,wish,I,would,open,bag,call,manag,I,got,home,not,nicest,guy,he,sorri,talk,waiter,I,come,back,mention,name,send,someth,way,sinc,seal,bottl,gave,wrong,bottl,credit,card,back",Negative,0
8,"such,cute,intim,space,delici,wine,came,meet,friend,drink,dinner,they,decent,select,wine,glass,It,nice,see,werent,tradit,name,I,abl,tri,new,wine,doesnt,love,they,definit,better,select,red,wine,but,I,dont,discrimin,red,white,I,happi,We,enjoy,tasti,flatbread,delici,they,even,mini,summer,menu,select,for,dessert,chocol,fondu,plate,We,agre,pound,cake,best,We,would,whole,plate,pound,cake,could,I,would,given,5,star,servic,bit,spotti,few,time,would,empti,glass,wine,server,brodi,friendli,keep,4,We,definit,back,vino,flat,bread,cours,pound,cake,cheer",Positive,1
9,"some,peopl,believ,cannot,fall,love,look,I,sure,place,the,ambianc,great,place,clean,crisp,I,visit,wednesday,night,empti,didnt,stop,friend,I,great,time,We,never,felt,rush,order,rush,leav,they,tri,close,earli,place,empti,happen,place,My,friend,I,sat,tabl,window,abl,chat,hour,drink,wine,enjoy,great,food,thi,place,make,good,date,night,spot,place,get,togeth,group,friend,I,start,glass,hous,sangria,favorit,mean,bad,from,I,ask,waiter,help,pick,wine,drier,side,still,hint,sweet,recommend,bordeaux,glass,wonder,It,exactli,I,imagin,My,friend,order,chardonnay,said,exactli,want,summertim,wine,you,pick,bottl,shelv,drink,charg,7,corkag,fee,take,home,dont,finish,they,wonder,select,bottl,wine,glass,choos,afford,option,I,know,sometim,peopl,dont,drink,wine,deter,wine,bar,wine,bar,also,serv,great,list,draft,bottl,craft,beer,the,food,also,realli,good,We,split,avocado,toast,summer,special,white,hot,flatbread,pizza,the,creami,asiago,chees,flatbread,soooooo,good,their,menu,simpl,delici",Positive,1
